date,region_code,hospitalized,new_positives,deceased,swabs
2020-03-08,05,8,0,0,36
2020-03-08,05,7,9,0,228
2020-03-08,01,245,153,5,1636
2020-03-08,16,17,14,3,627
2020-03-08,20,5,6,0,149
2020-03-08,19,18,18,0,791
2020-03-08,09,91,53,0,1618
2020-03-08,10,2,2,0,168
2020-03-08,02,1,1,0,41
2020-03-08,05,146,127,18,15918
2020-03-09,13,25,13,0,237
2020-03-09,17,2,1,0,135
2020-03-09,18,8,2,0,173
2020-03-09,15,42,19,0,980
2020-03-09,08,576,206,70,4906
2020-03-09,06,18,36,1,1344
2020-03-09,12,55,15,5,1929
2020-03-09,07,60,31,7,611
2020-03-09,03,2802,1280,333,20135
2020-03-09,11,136,51,10,1250
2020-03-09,14,4,0,0,212
2020-03-09,05,8,0,0,36
2020-03-09,05,10,10,0,267
2020-03-09,01,222,-10,13,1681
2020-03-09,16,20,10,3,685
2020-03-09,20,8,8,0,185
2020-03-09,19,19,1,0,836
2020-03-09,09,107,42,1,2018
2020-03-09,10,4,2,0,183
2020-03-09,02,4,6,0,67
2020-03-09,05,186,74,20,15956
2020-03-10,13,17,8,1,310
2020-03-10,17,2,2,0,148
2020-03-10,18,8,2,0,360
2020-03-10,15,33,7,0,1141
2020-03-10,08,669,147,85,5494
2020-03-10,06,27,23,3,1602
2020-03-10,12,50,14,6,3591
2020-03-10,07,57,32,8,694
2020-03-10,03,3319,322,468,21479
2020-03-10,11,152,71,13,1437
2020-03-10,14,3,1,0,225
2020-03-10,05,17,29,0,36
2020-03-10,05,19,19,0,399
2020-03-10,01,306,103,17,2374
2020-03-10,16,28,9,3,747
2020-03-10,20,9,1,0,204
2020-03-10,19,17,8,0,955
2020-03-10,09,91,56,1,2573
2020-03-10,10,8,9,0,260
2020-03-10,02,2,2,0,89
2020-03-10,05,204,112,26,16643
2020-03-11,13,17,0,1,310
2020-03-11,17,1,1,0,155
2020-03-11,18,10,6,0,405
2020-03-11,15,56,27,1,1375
2020-03-11,08,745,206,113,6640
2020-03-11,06,16,10,6,2073
2020-03-11,12,67,34,6,3591
2020-03-11,07,74,53,8,1025
2020-03-11,03,3852,1489,617,25629
2020-03-11,11,212,85,18,1656
2020-03-11,14,4,1,0,233
2020-03-11,05,8,37,0,75
2020-03-11,05,28,25,0,527
2020-03-11,01,319,48,21,2431
2020-03-11,16,38,18,5,909
2020-03-11,20,10,17,0,283
2020-03-11,19,23,21,0,1194
2020-03-11,09,87,56,1,2804
2020-03-11,10,7,9,0,340
2020-03-11,02,2,3,1,99
2020-03-11,05,262,167,29,21400
2020-03-12,13,47,46,2,867
2020-03-12,17,1,0,0,155
2020-03-12,18,14,14,0,483
2020-03-12,15,56,25,1,1551
2020-03-12,08,814,208,146,7600
2020-03-12,06,23,41,8,2604
2020-03-12,12,85,50,9,5592
2020-03-12,07,100,80,11,1174
2020-03-12,03,4247,1445,744,29534
2020-03-12,11,254,113,22,1907
2020-03-12,14,4,0,0,238
2020-03-12,05,21,29,1,607
2020-03-12,05,43,30,1,593
2020-03-12,01,368,79,26,2879
2020-03-12,16,58,27,5,1269
2020-03-12,20,12,2,0,302
2020-03-12,19,28,32,2,1477
2020-03-12,09,100,44,5,3165
2020-03-12,10,8,18,0,458
2020-03-12,02,7,7,1,118
2020-03-12,05,360,361,32,23438
2020-03-13,13,42,5,2,958
2020-03-13,17,1,2,0,155
2020-03-13,18,18,5,0,504
2020-03-13,15,60,41,2,1671
2020-03-13,08,942,316,201,8787
2020-03-13,06,59,90,10,3149
2020-03-13,12,122,77,11,6491
2020-03-13,07,128,71,17,1442
2020-03-13,03,4435,1095,890,32700
2020-03-13,11,337,133,27,2218
2020-03-13,14,5,1,0,243
2020-03-13,05,20,21,2,811
2020-03-13,05,58,56,2,846
2020-03-13,01,556,260,46,3105
2020-03-13,16,77,25,5,1449
2020-03-13,20,12,4,0,504
2020-03-13,19,37,15,2,1950
2020-03-13,09,134,106,5,4049
2020-03-13,10,11,12,1,576
2020-03-13,02,6,1,1,189
2020-03-13,05,366,211,42,25691
2020-03-14,13,51,23,2,1232
2020-03-14,17,0,0,0,155
2020-03-14,18,22,22,0,711
2020-03-14,15,72,52,6,1936
2020-03-14,08,1076,381,241,10043
2020-03-14,06,67,44,13,3376
2020-03-14,12,181,80,13,7335
2020-03-14,07,213,118,27,1750
2020-03-14,03,4898,1865,966,37138
2020-03-14,11,449,174,36,2561
2020-03-14,14,5,0,0,247
2020-03-14,05,26,48,3,1135
2020-03-14,05,68,43,2,1006
2020-03-14,01,538,33,59,3680
2020-03-14,16,91,37,8,1681
2020-03-14,20,14,4,0,530
2020-03-14,19,42,26,2,2100
2020-03-14,09,160,160,6,4595
2020-03-14,10,21,31,1,748
2020-03-14,02,12,14,1,231
2020-03-14,05,366,342,55,26980
2020-03-15,13,72,25,3,1419
2020-03-15,17,0,1,0,208
2020-03-15,18,32,8,1,884
2020-03-15,15,73,61,9,2213
2020-03-15,08,1215,449,284,12054
2020-03-15,06,98,46,14,3407
2020-03-15,12,223,79,16,8345
2020-03-15,07,253,96,33,1973
2020-03-15,03,5500,1587,1218,40369
2020-03-15,11,521,234,46,2946
2020-03-15,14,3,0,0,248
2020-03-15,05,50,31,5,1497
2020-03-15,05,73,172,6,1006
2020-03-15,01,726,238,81,4375
2020-03-15,16,116,64,16,2017
2020-03-15,20,16,30,2,613
2020-03-15,19,56,32,2,2452
2020-03-15,09,175,151,8,5132
2020-03-15,10,25,36,1,965
2020-03-15,02,10,15,1,230
2020-03-15,05,426,235,63,32546
2020-03-16,13,71,39,4,1533
2020-03-16,17,1,1,0,230
2020-03-16,18,36,21,1,1030
2020-03-16,15,103,67,9,2517
2020-03-16,08,1362,429,346,13096
2020-03-16,06,96,39,22,4851
2020-03-16,12,267,87,19,9330
2020-03-16,07,255,108,50,2189
2020-03-16,03,6171,1377,1420,43565
2020-03-16,11,528,109,57,3225
2020-03-16,14,3,4,1,253
2020-03-16,05,53,37,6,1740
2020-03-16,05,73,0,6,1006
2020-03-16,01,1045,405,111,5588
2020-03-16,16,116,0,16,2017
2020-03-16,20,39,30,2,797
2020-03-16,19,75,25,2,2653
2020-03-16,09,175,85,14,5910
2020-03-16,10,30,21,1,1093
2020-03-16,02,28,48,2,287
2020-03-16,05,498,301,69,35052
2020-03-17,13,94,53,6,1688
2020-03-17,17,5,8,0,262
2020-03-17,18,45,25,1,1293
2020-03-17,15,127,60,9,2685
2020-03-17,08,1566,409,393,14510
2020-03-17,06,104,8,30,4958
2020-03-17,12,314,84,23,9436
2020-03-17,07,299,111,60,2509
2020-03-17,03,6953,1571,1640,46449
2020-03-17,11,599,129,69,3225
2020-03-17,14,7,4,1,301
2020-03-17,05,71,50,8,2149
2020-03-17,05,107,7,7,1727
2020-03-17,01,1378,381,133,6543
2020-03-17,16,155,110,18,3077
2020-03-17,20,36,10,2,1003
2020-03-17,19,86,24,3,2916
2020-03-17,09,329,187,17,6727
2020-03-17,10,36,33,1,1323
2020-03-17,02,35,31,2,398
2020-03-17,05,548,231,80,35478
2020-03-18,13,99,34,7,2054
2020-03-18,17,9,7,0,262
2020-03-18,18,45,15,1,1668
2020-03-18,15,127,0,9,2685
2020-03-18,08,1784,594,458,15461
2020-03-18,06,128,68,31,4958
2020-03-18,12,374,117,32,11145
2020-03-18,07,401,109,73,2912
2020-03-18,03,7285,1493,1959,48983
2020-03-18,11,638,197,92,4109
2020-03-18,14,7,3,1,361
2020-03-18,05,79,85,9,2844
2020-03-18,05,141,70,7,2187
2020-03-18,01,1780,444,154,7516
2020-03-18,16,156,43,19,3433
2020-03-18,20,42,17,2,1135
2020-03-18,19,100,45,3,3294
2020-03-18,09,427,277,22,7606
2020-03-18,10,54,50,2,1601
2020-03-18,02,41,29,3,486
2020-03-18,05,646,510,94,40841
2020-03-19,13,181,122,11,2409
2020-03-19,17,8,10,0,353
2020-03-19,18,60,40,3,2342
2020-03-19,15,213,192,17,3544
2020-03-19,08,1900,689,531,18344
2020-03-19,06,134,137,36,4052
2020-03-19,12,426,99,38,11145
2020-03-19,07,491,172,91,3348
2020-03-19,03,7387,2171,2168,52244
2020-03-19,11,656,169,115,4512
2020-03-19,14,19,18,2,426
2020-03-19,05,87,60,14,3568
2020-03-19,05,169,68,12,2203
2020-03-19,01,2279,591,175,8853
2020-03-19,16,173,95,25,4046
2020-03-19,20,43,72,2,1334
2020-03-19,19,143,58,4,3961
2020-03-19,09,501,152,38,8873
2020-03-19,10,69,87,2,1954
2020-03-19,02,47,50,6,608
2020-03-19,05,771,270,115,44658
2020-03-20,13,190,64,17,2695
2020-03-20,17,8,15,0,443
2020-03-20,18,71,38,4,2690
2020-03-20,15,130,97,17,3845
2020-03-20,08,2083,754,640,20753
2020-03-20,06,143,57,38,4964
2020-03-20,12,537,185,43,13889
2020-03-20,07,573,162,119,3794
2020-03-20,03,7735,2380,2549,57174
2020-03-20,11,704,244,137,5170
2020-03-20,14,20,4,5,426
2020-03-20,05,99,112,17,4433
2020-03-20,05,198,119,13,2656
2020-03-20,01,1541,529,209,9975
2020-03-20,16,191,103,26,4789
2020-03-20,20,56,87,2,1912
2020-03-20,19,168,68,4,4468
2020-03-20,09,601,311,47,10405
2020-03-20,10,75,61,7,2303
2020-03-20,02,54,49,7,814
2020-03-20,05,843,547,131,49288
2020-03-21,13,185,80,22,3035
2020-03-21,17,12,14,0,522
2020-03-21,18,73,28,5,3050
2020-03-21,15,233,95,22,4448
2020-03-21,08,2267,737,715,24620
2020-03-21,06,152,134,42,5955
2020-03-21,12,591,182,50,13889
2020-03-21,07,598,215,152,4304
2020-03-21,03,8258,3251,3095,66730
2020-03-21,11,742,172,154,5740
2020-03-21,14,21,11,7,449
2020-03-21,05,127,73,20,5179
2020-03-21,05,233,140,28,2656
2020-03-21,01,1976,291,238,10701
2020-03-21,16,209,94,29,5617
2020-03-21,20,65,37,4,2297
2020-03-21,19,206,82,6,4883
2020-03-21,09,664,219,72,11909
2020-03-21,10,92,67,10,2712
2020-03-21,02,62,49,8,884
2020-03-21,05,942,586,146,53642
2020-03-22,13,218,58,33,3375
2020-03-22,17,13,15,0,643
2020-03-22,18,77,38,8,3666
2020-03-22,15,243,92,29,4943
2020-03-22,08,2429,850,816,28022
2020-03-22,06,163,84,47,6761
2020-03-22,12,671,193,53,17845
2020-03-22,07,736,229,171,4995
2020-03-22,03,9439,1691,3456,70598
2020-03-22,11,816,268,184,6391
2020-03-22,14,24,5,7,532
2020-03-22,05,146,57,23,5718
2020-03-22,05,235,172,35,3050
2020-03-22,01,2118,668,283,12701
2020-03-22,16,252,111,31,6160
2020-03-22,20,67,9,7,2402
2020-03-22,19,220,140,8,5580
2020-03-22,09,706,265,91,13264
2020-03-22,10,97,59,16,3135
2020-03-22,02,63,51,9,950
2020-03-22,05,1113,505,169,57671
2020-03-23,13,228,76,38,3674
2020-03-23,17,15,9,1,696
2020-03-23,18,82,19,7,4073
2020-03-23,15,266,90,49,5813
2020-03-23,08,2846,980,892,31200
2020-03-23,06,185,56,54,7424
2020-03-23,12,718,157,63,18371
2020-03-23,07,761,259,212,5538
2020-03-23,03,9266,1555,3776,73242
2020-03-23,11,882,148,203,6782
2020-03-23,14,25,1,7,532
2020-03-23,05,145,46,29,6084
2020-03-23,05,249,69,41,3150
2020-03-23,01,2194,441,315,13560
2020-03-23,16,285,120,37,6761
2020-03-23,20,76,20,11,2568
2020-03-23,19,250,91,13,6375
2020-03-23,09,838,184,109,13851
2020-03-23,10,106,56,16,3561
2020-03-23,02,69,29,12,1098
2020-03-23,05,1206,383,192,61115
2020-03-24,13,234,26,46,4294
2020-03-24,17,14,2,1,744
2020-03-24,18,88,27,10,4486
2020-03-24,15,345,75,56,6297
2020-03-24,08,2974,719,985,33527
2020-03-24,06,195,62,64,8526
2020-03-24,12,747,188,80,18371
2020-03-24,07,803,192,231,5992
2020-03-24,03,9711,1942,4178,76695
2020-03-24,11,862,167,231,7229
2020-03-24,14,27,6,8,572
2020-03-24,05,166,57,38,6509
2020-03-24,05,308,87,56,3712
2020-03-24,01,2404,654,374,15469
2020-03-24,16,317,99,44,7345
2020-03-24,20,80,62,15,2859
2020-03-24,19,250,125,20,7170
2020-03-24,09,918,238,129,15701
2020-03-24,10,105,71,19,4108
2020-03-24,02,71,7,19,1180
2020-03-24,05,1318,443,216,66178
2020-03-25,13,248,124,52,4982
2020-03-25,17,20,21,1,857
2020-03-25,18,93,32,11,5058
2020-03-25,15,318,98,74,6972
2020-03-25,08,3180,800,1077,38045
2020-03-25,06,200,147,70,9494
2020-03-25,12,805,173,95,20669
2020-03-25,07,927,189,254,6602
2020-03-25,03,10026,1643,4474,81666
2020-03-25,11,938,198,287,7896
2020-03-25,14,26,0,8,580
2020-03-25,05,190,77,43,6649
2020-03-25,05,308,112,74,4114
2020-03-25,01,2544,509,449,16655
2020-03-25,16,349,88,48,8223
2020-03-25,20,82,21,18,3019
2020-03-25,19,259,148,25,8312
2020-03-25,09,999,273,142,17868
2020-03-25,10,123,62,19,4707
2020-03-25,02,70,1,24,1200
2020-03-25,05,1407,494,258,70877
2020-03-26,13,280,133,63,5488
2020-03-26,17,22,21,1,1046
2020-03-26,18,101,42,14,5933
2020-03-26,15,448,111,83,8346
2020-03-26,08,3354,762,1174,42395
2020-03-26,06,212,84,72,10721
2020-03-26,12,878,195,106,22771
2020-03-26,07,998,262,280,7304
2020-03-26,03,10681,2543,4861,87713
2020-03-26,11,977,180,310,8623
2020-03-26,14,27,30,8,670
2020-03-26,05,223,48,48,7744
2020-03-26,05,300,75,86,4600
2020-03-26,01,2633,510,449,18054
2020-03-26,16,480,89,65,9191
2020-03-26,20,92,52,19,3461
2020-03-26,19,346,170,33,9658
2020-03-26,09,1037,254,158,20952
2020-03-26,10,144,92,20,5428
2020-03-26,02,73,7,28,1203
2020-03-26,05,1447,493,287,79759
2020-03-27,13,289,71,68,6109
2020-03-27,17,22,17,3,1254
2020-03-27,18,103,101,18,6901
2020-03-27,15,456,144,98,9613
2020-03-27,08,3461,772,1267,47798
2020-03-27,06,222,94,76,11841
2020-03-27,12,992,199,118,24106
2020-03-27,07,1023,129,331,7804
2020-03-27,03,11137,2409,5402,95860
2020-03-27,11,979,82,336,9060
2020-03-27,14,26,6,9,710
2020-03-27,05,249,97,60,8520
2020-03-27,05,341,94,102,4923
2020-03-27,01,2852,558,569,19705
2020-03-27,16,530,152,69,10233
2020-03-27,20,93,36,21,3801
2020-03-27,19,425,86,39,11079
2020-03-27,09,1053,224,177,23746
2020-03-27,10,149,82,21,6137
2020-03-27,02,91,44,37,1252
2020-03-27,05,1536,562,313,83627
2020-03-28,13,311,116,76,7003
2020-03-28,17,26,31,3,1421
2020-03-28,18,107,61,21,7760
2020-03-28,15,463,138,109,10616
2020-03-28,08,3695,795,1344,52991
2020-03-28,06,223,119,87,12723
2020-03-28,12,985,210,124,27179
2020-03-28,07,1031,126,358,8177
2020-03-28,03,11152,2117,5944,102503
2020-03-28,11,987,177,364,9884
2020-03-28,14,26,14,9,807
2020-03-28,05,225,106,64,9168
2020-03-28,05,351,114,120,5561
2020-03-28,01,3094,579,617,21511
2020-03-28,16,563,124,71,11500
2020-03-28,20,95,94,26,4225
2020-03-28,19,441,109,57,13096
2020-03-28,09,1093,367,198,25613
2020-03-28,10,159,85,28,7028
2020-03-28,02,90,59,41,1380
2020-03-28,05,1559,433,362,89380
2020-03-29,13,329,160,88,7730
2020-03-29,17,32,20,4,1585
2020-03-29,18,124,59,25,8485
2020-03-29,15,476,167,117,11805
2020-03-29,08,3769,736,1443,52991
2020-03-29,06,236,44,98,13397
2020-03-29,12,1062,201,136,27744
2020-03-29,07,1077,254,377,9100
2020-03-29,03,11613,1592,6360,107398
2020-03-29,11,1000,185,386,10431
2020-03-29,14,25,4,9,918
2020-03-29,05,234,105,64,10137
2020-03-29,05,356,89,129,5950
2020-03-29,01,2985,535,684,24058
2020-03-29,16,559,91,86,12361
2020-03-29,20,105,14,27,4598
2020-03-29,19,451,101,65,13814
2020-03-29,09,1111,305,215,27579
2020-03-29,10,166,54,31,7685
2020-03-29,02,90,73,43,1480
2020-03-29,05,1586,428,392,94784
2020-03-30,13,322,52,102,7948
2020-03-30,17,36,12,5,1833
2020-03-30,18,130,33,31,9013
2020-03-30,15,468,193,125,12969
2020-03-30,08,3779,412,1538,50990
2020-03-30,06,229,21,107,14003
2020-03-30,12,1079,208,150,32846
2020-03-30,07,1142,141,397,9677
2020-03-30,03,11815,1154,6818,111057
2020-03-30,11,998,126,417,10979
2020-03-30,14,27,7,9,955
2020-03-30,05,231,111,74,10640
2020-03-30,05,353,88,147,6377
2020-03-30,01,2985,506,749,25478
2020-03-30,16,590,163,91,13117
2020-03-30,20,113,44,28,4993
2020-03-30,19,484,95,76,14758
2020-03-30,09,1116,290,231,30099
2020-03-30,10,173,28,33,8150
2020-03-30,02,92,0,50,1536
2020-03-30,05,1633,366,413,99941
2020-03-31,13,335,56,115,8758
2020-03-31,17,37,12,7,2043
2020-03-31,18,132,12,36,9327
2020-03-31,15,501,140,133,14403
2020-03-31,08,3765,543,1644,54532
2020-03-31,06,215,92,113,14899
2020-03-31,12,1127,181,162,34677
2020-03-31,07,1153,199,428,10376
2020-03-31,03,11883,1047,7199,114640
2020-03-31,11,946,141,452,11724
2020-03-31,14,29,10,9,1049
2020-03-31,05,249,46,76,11275
2020-03-31,05,354,64,164,6973
2020-03-31,01,3174,589,854,27658
2020-03-31,16,609,91,110,14073
2020-03-31,20,113,40,31,5257
2020-03-31,19,503,92,81,15634
2020-03-31,09,1120,196,244,33165
2020-03-31,10,176,27,37,8685
2020-03-31,02,91,44,56,1582
2020-03-31,05,1680,431,477,106238
2020-04-01,13,342,35,123,9610
2020-04-01,17,39,11,9,2262
2020-04-01,18,144,10,38,9983
2020-04-01,15,478,139,148,15728
2020-04-01,08,3898,713,1732,58457
2020-04-01,06,206,92,122,15987
2020-04-01,12,1131,169,169,35810
2020-04-01,07,1114,244,460,11334
2020-04-01,03,11927,1565,7593,121449
